Time,Date,Total
11:45:00,2018-09-22,4835
12:00:00,2018-09-22,11470
12:15:00,2018-09-22,8957
12:30:00,2018-09-22,8473
12:45:00,2018-09-22,7304
13:00:00,2018-09-22,8187
13:15:00,2018-09-22,7669
13:30:00,2018-09-22,9665
13:45:00,2018-09-22,7485
14:00:00,2018-09-22,8131
14:15:00,2018-09-22,7128
14:30:00,2018-09-22,7283
14:45:00,2018-09-22,8041
15:00:00,2018-09-22,8423
15:15:00,2018-09-22,8253
15:30:00,2018-09-22,8265
15:45:00,2018-09-22,7297
16:00:00,2018-09-22,8103
16:15:00,2018-09-22,8464
16:30:00,2018-09-22,7531
16:45:00,2018-09-22,7376
17:00:00,2018-09-22,7445
17:15:00,2018-09-22,6697
17:30:00,2018-09-22,6925
17:45:00,2018-09-22,6954
18:00:00,2018-09-22,7366
18:15:00,2018-09-22,8161
18:30:00,2018-09-22,7027
18:45:00,2018-09-22,6466
19:00:00,2018-09-22,7684
19:15:00,2018-09-22,7018
19:30:00,2018-09-22,7241
19:45:00,2018-09-22,7086
20:00:00,2018-09-22,8189
20:15:00,2018-09-22,6890
20:30:00,2018-09-22,7055
20:45:00,2018-09-22,7168
21:00:00,2018-09-22,8634
21:15:00,2018-09-22,6809
21:30:00,2018-09-22,7017
21:45:00,2018-09-22,6883
22:00:00,2018-09-22,7133
22:15:00,2018-09-22,6842
22:30:00,2018-09-22,7084
22:45:00,2018-09-22,6701
23:00:00,2018-09-22,8346
23:15:00,2018-09-22,6650
23:30:00,2018-09-22,6978
23:45:00,2018-09-22,6531
