Time,Date,Total
00:00:00,2019-03-01,57959
00:15:00,2019-03-01,52676
00:30:00,2019-03-01,34669
00:45:00,2019-03-01,30817
01:00:00,2019-03-01,33670
01:15:00,2019-03-01,32816
01:30:00,2019-03-01,34204
01:45:00,2019-03-01,32896
02:00:00,2019-03-01,33250
02:15:00,2019-03-01,31362
02:30:00,2019-03-01,32626
02:45:00,2019-03-01,31180
03:00:00,2019-03-01,34053
03:15:00,2019-03-01,31667
03:30:00,2019-03-01,30930
03:45:00,2019-03-01,32121
04:00:00,2019-03-01,32453
04:15:00,2019-03-01,33294
04:30:00,2019-03-01,33712
04:45:00,2019-03-01,35159
05:00:00,2019-03-01,59945
05:15:00,2019-03-01,56284
05:30:00,2019-03-01,56370
05:45:00,2019-03-01,54456
06:00:00,2019-03-01,56780
06:15:00,2019-03-01,60160
06:30:00,2019-03-01,57375
06:45:00,2019-03-01,57276
07:00:00,2019-03-01,63371
07:15:00,2019-03-01,63523
07:30:00,2019-03-01,66809
07:45:00,2019-03-01,78659
08:00:00,2019-03-01,79629
08:15:00,2019-03-01,69889
08:30:00,2019-03-01,73833
08:45:00,2019-03-01,73092
09:00:00,2019-03-01,76372
09:15:00,2019-03-01,66161
09:30:00,2019-03-01,70538
09:45:00,2019-03-01,72267
10:00:00,2019-03-01,95613
10:15:00,2019-03-01,77261
10:30:00,2019-03-01,73729
10:45:00,2019-03-01,65471
11:00:00,2019-03-01,72863
11:15:00,2019-03-01,58750
11:30:00,2019-03-01,60566
11:45:00,2019-03-01,63429
12:00:00,2019-03-01,66868
12:15:00,2019-03-01,89154
12:30:00,2019-03-01,88852
12:45:00,2019-03-01,84169
13:00:00,2019-03-01,73612
13:15:00,2019-03-01,81951
13:30:00,2019-03-01,85098
13:45:00,2019-03-01,66975
14:00:00,2019-03-01,62370
14:15:00,2019-03-01,59684
14:30:00,2019-03-01,65355
14:45:00,2019-03-01,55358
15:00:00,2019-03-01,50378
15:15:00,2019-03-01,53013
15:30:00,2019-03-01,62150
15:45:00,2019-03-01,47065
16:00:00,2019-03-01,52888
16:15:00,2019-03-01,52873
16:30:00,2019-03-01,49690
16:45:00,2019-03-01,42340
17:00:00,2019-03-01,35343
17:15:00,2019-03-01,31884
17:30:00,2019-03-01,30621
17:45:00,2019-03-01,31317
18:00:00,2019-03-01,31575
18:15:00,2019-03-01,32165
18:30:00,2019-03-01,30833
18:45:00,2019-03-01,28757
19:00:00,2019-03-01,30212
19:15:00,2019-03-01,31220
19:30:00,2019-03-01,29203
19:45:00,2019-03-01,30373
20:00:00,2019-03-01,31973
20:15:00,2019-03-01,29101
20:30:00,2019-03-01,29746
20:45:00,2019-03-01,29524
21:00:00,2019-03-01,28360
21:15:00,2019-03-01,31532
21:30:00,2019-03-01,29320
21:45:00,2019-03-01,32319
22:00:00,2019-03-01,31502
22:15:00,2019-03-01,32020
22:30:00,2019-03-01,31026
22:45:00,2019-03-01,31688
23:00:00,2019-03-01,31342
23:15:00,2019-03-01,32390
23:30:00,2019-03-01,31803
23:45:00,2019-03-01,31673
