Time,Date,Total
00:00:00,2019-02-21,339
00:15:00,2019-02-21,343
00:30:00,2019-02-21,342
00:45:00,2019-02-21,345
01:00:00,2019-02-21,343
01:15:00,2019-02-21,336
01:30:00,2019-02-21,352
01:45:00,2019-02-21,350
02:00:00,2019-02-21,347
02:15:00,2019-02-21,347
02:30:00,2019-02-21,342
02:45:00,2019-02-21,334
03:00:00,2019-02-21,344
03:15:00,2019-02-21,353
03:30:00,2019-02-21,342
03:45:00,2019-02-21,346
04:00:00,2019-02-21,348
04:15:00,2019-02-21,337
04:30:00,2019-02-21,348
04:45:00,2019-02-21,342
05:00:00,2019-02-21,344
05:15:00,2019-02-21,341
05:30:00,2019-02-21,347
05:45:00,2019-02-21,345
06:00:00,2019-02-21,353
06:15:00,2019-02-21,338
06:30:00,2019-02-21,344
06:45:00,2019-02-21,351
07:00:00,2019-02-21,364
07:15:00,2019-02-21,368
07:30:00,2019-02-21,408
07:45:00,2019-02-21,513
08:00:00,2019-02-21,485
08:15:00,2019-02-21,466
08:30:00,2019-02-21,480
08:45:00,2019-02-21,481
09:00:00,2019-02-21,483
09:15:00,2019-02-21,463
09:30:00,2019-02-21,484
09:45:00,2019-02-21,498
10:00:00,2019-02-21,495
10:15:00,2019-02-21,483
10:30:00,2019-02-21,477
10:45:00,2019-02-21,484
11:00:00,2019-02-21,481
11:15:00,2019-02-21,468
11:30:00,2019-02-21,461
11:45:00,2019-02-21,432
12:00:00,2019-02-21,428
12:15:00,2019-02-21,417
12:30:00,2019-02-21,435
12:45:00,2019-02-21,426
13:00:00,2019-02-21,426
13:15:00,2019-02-21,416
13:30:00,2019-02-21,422
13:45:00,2019-02-21,436
14:00:00,2019-02-21,420
14:15:00,2019-02-21,425
14:30:00,2019-02-21,406
14:45:00,2019-02-21,412
15:00:00,2019-02-21,411
15:15:00,2019-02-21,422
15:30:00,2019-02-21,440
15:45:00,2019-02-21,442
16:00:00,2019-02-21,416
16:15:00,2019-02-21,423
16:30:00,2019-02-21,412
16:45:00,2019-02-21,405
17:00:00,2019-02-21,397
17:15:00,2019-02-21,385
17:30:00,2019-02-21,379
17:45:00,2019-02-21,380
18:00:00,2019-02-21,377
18:15:00,2019-02-21,373
18:30:00,2019-02-21,383
18:45:00,2019-02-21,384
19:00:00,2019-02-21,377
19:15:00,2019-02-21,380
19:30:00,2019-02-21,367
19:45:00,2019-02-21,379
20:00:00,2019-02-21,364
20:15:00,2019-02-21,360
20:30:00,2019-02-21,365
20:45:00,2019-02-21,371
21:00:00,2019-02-21,361
21:15:00,2019-02-21,365
21:30:00,2019-02-21,362
21:45:00,2019-02-21,366
22:00:00,2019-02-21,363
22:15:00,2019-02-21,372
22:30:00,2019-02-21,376
22:45:00,2019-02-21,363
23:00:00,2019-02-21,366
23:15:00,2019-02-21,371
23:30:00,2019-02-21,381
23:45:00,2019-02-21,364
