Time,Date,Total
00:00:00,2018-12-03,9145
00:15:00,2018-12-03,5266
00:30:00,2018-12-03,5769
00:45:00,2018-12-03,4823
01:00:00,2018-12-03,5016
01:15:00,2018-12-03,5035
01:30:00,2018-12-03,6715
01:45:00,2018-12-03,4750
02:00:00,2018-12-03,4762
02:15:00,2018-12-03,4861
02:30:00,2018-12-03,5577
02:45:00,2018-12-03,4916
03:00:00,2018-12-03,5731
03:15:00,2018-12-03,5387
03:30:00,2018-12-03,6265
03:45:00,2018-12-03,4690
04:00:00,2018-12-03,6106
04:15:00,2018-12-03,5216
04:30:00,2018-12-03,5896
04:45:00,2018-12-03,5036
05:00:00,2018-12-03,6311
05:15:00,2018-12-03,5640
05:30:00,2018-12-03,6076
05:45:00,2018-12-03,4750
06:00:00,2018-12-03,5588
06:15:00,2018-12-03,5438
06:30:00,2018-12-03,6354
06:45:00,2018-12-03,4775
07:00:00,2018-12-03,7572
07:15:00,2018-12-03,9391
07:30:00,2018-12-03,12481
07:45:00,2018-12-03,13441
08:00:00,2018-12-03,18660
08:15:00,2018-12-03,13950
08:30:00,2018-12-03,14066
08:45:00,2018-12-03,12109
09:00:00,2018-12-03,11982
09:15:00,2018-12-03,13210
09:30:00,2018-12-03,12146
09:45:00,2018-12-03,12704
10:00:00,2018-12-03,13524
10:15:00,2018-12-03,11249
10:30:00,2018-12-03,14286
10:45:00,2018-12-03,10747
11:00:00,2018-12-03,10698
11:15:00,2018-12-03,11873
11:30:00,2018-12-03,12727
11:45:00,2018-12-03,12885
12:00:00,2018-12-03,15576
12:15:00,2018-12-03,12683
12:30:00,2018-12-03,11102
12:45:00,2018-12-03,11309
13:00:00,2018-12-03,11967
13:15:00,2018-12-03,11023
13:30:00,2018-12-03,12443
13:45:00,2018-12-03,13001
14:00:00,2018-12-03,12537
14:15:00,2018-12-03,12472
14:30:00,2018-12-03,11486
14:45:00,2018-12-03,12571
15:00:00,2018-12-03,12541
15:15:00,2018-12-03,12090
15:30:00,2018-12-03,12388
15:45:00,2018-12-03,12305
16:00:00,2018-12-03,12855
16:15:00,2018-12-03,9189
16:30:00,2018-12-03,7590
16:45:00,2018-12-03,6418
17:00:00,2018-12-03,5223
17:15:00,2018-12-03,6288
17:30:00,2018-12-03,5262
17:45:00,2018-12-03,4588
18:00:00,2018-12-03,4390
18:15:00,2018-12-03,5026
18:30:00,2018-12-03,4251
18:45:00,2018-12-03,4410
19:00:00,2018-12-03,6018
19:15:00,2018-12-03,5833
19:30:00,2018-12-03,5291
19:45:00,2018-12-03,4754
20:00:00,2018-12-03,4678
20:15:00,2018-12-03,5089
20:30:00,2018-12-03,4888
20:45:00,2018-12-03,4463
21:00:00,2018-12-03,4746
21:15:00,2018-12-03,5051
21:30:00,2018-12-03,4840
21:45:00,2018-12-03,5217
22:00:00,2018-12-03,4941
22:15:00,2018-12-03,4522
22:30:00,2018-12-03,4808
22:45:00,2018-12-03,4967
23:00:00,2018-12-03,4683
23:15:00,2018-12-03,5258
23:30:00,2018-12-03,4357
23:45:00,2018-12-03,4127
