Time,Date,Total
00:00:00,2019-03-21,20806
00:15:00,2019-03-21,21073
00:30:00,2019-03-21,19336
00:45:00,2019-03-21,21304
01:00:00,2019-03-21,19427
01:15:00,2019-03-21,17803
01:30:00,2019-03-21,27787
01:45:00,2019-03-21,20903
02:00:00,2019-03-21,20161
02:15:00,2019-03-21,18045
02:30:00,2019-03-21,20774
02:45:00,2019-03-21,18708
03:00:00,2019-03-21,22024
03:15:00,2019-03-21,22648
03:30:00,2019-03-21,21525
03:45:00,2019-03-21,23996
04:00:00,2019-03-21,19874
04:15:00,2019-03-21,21392
04:30:00,2019-03-21,23037
04:45:00,2019-03-21,22830
05:00:00,2019-03-21,23289
05:15:00,2019-03-21,19701
05:30:00,2019-03-21,22053
05:45:00,2019-03-21,20937
06:00:00,2019-03-21,22151
06:15:00,2019-03-21,22412
06:30:00,2019-03-21,28171
06:45:00,2019-03-21,24672
07:00:00,2019-03-21,23161
07:15:00,2019-03-21,30120
07:30:00,2019-03-21,37765
07:45:00,2019-03-21,54849
08:00:00,2019-03-21,49344
08:15:00,2019-03-21,42579
08:30:00,2019-03-21,42238
08:45:00,2019-03-21,43779
09:00:00,2019-03-21,39936
09:15:00,2019-03-21,61969
09:30:00,2019-03-21,48414
09:45:00,2019-03-21,39502
10:00:00,2019-03-21,39066
10:15:00,2019-03-21,38614
10:30:00,2019-03-21,53179
10:45:00,2019-03-21,71517
11:00:00,2019-03-21,59189
11:15:00,2019-03-21,55489
11:30:00,2019-03-21,59846
11:45:00,2019-03-21,42899
12:00:00,2019-03-21,57201
12:15:00,2019-03-21,54689
12:30:00,2019-03-21,43195
12:45:00,2019-03-21,78441
13:00:00,2019-03-21,46955
13:15:00,2019-03-21,47839
13:30:00,2019-03-21,47269
13:45:00,2019-03-21,61169
14:00:00,2019-03-21,65103
14:15:00,2019-03-21,68476
14:30:00,2019-03-21,52817
14:45:00,2019-03-21,39453
15:00:00,2019-03-21,37964
15:15:00,2019-03-21,47733
15:30:00,2019-03-21,40881
15:45:00,2019-03-21,49128
16:00:00,2019-03-21,32575
16:15:00,2019-03-21,24910
16:30:00,2019-03-21,36443
16:45:00,2019-03-21,24085
17:00:00,2019-03-21,17852
17:15:00,2019-03-21,17571
17:30:00,2019-03-21,23602
17:45:00,2019-03-21,25349
18:00:00,2019-03-21,21562
18:15:00,2019-03-21,22127
18:30:00,2019-03-21,17277
18:45:00,2019-03-21,22377
19:00:00,2019-03-21,29197
19:15:00,2019-03-21,21965
19:30:00,2019-03-21,21996
19:45:00,2019-03-21,30443
20:00:00,2019-03-21,28650
20:15:00,2019-03-21,19804
20:30:00,2019-03-21,16174
20:45:00,2019-03-21,15671
21:00:00,2019-03-21,16336
21:15:00,2019-03-21,18200
21:30:00,2019-03-21,15492
21:45:00,2019-03-21,19720
22:00:00,2019-03-21,14639
22:15:00,2019-03-21,20297
22:30:00,2019-03-21,20295
22:45:00,2019-03-21,20242
23:00:00,2019-03-21,22607
23:15:00,2019-03-21,21278
23:30:00,2019-03-21,20155
23:45:00,2019-03-21,20823
