Time,Date,Total
00:00:00,2019-03-07,2630
00:15:00,2019-03-07,2739
00:30:00,2019-03-07,2526
00:45:00,2019-03-07,2575
01:00:00,2019-03-07,2440
01:15:00,2019-03-07,2596
01:30:00,2019-03-07,2700
01:45:00,2019-03-07,2546
02:00:00,2019-03-07,2612
02:15:00,2019-03-07,2509
02:30:00,2019-03-07,2435
02:45:00,2019-03-07,2452
03:00:00,2019-03-07,2819
03:15:00,2019-03-07,2880
03:30:00,2019-03-07,2874
03:45:00,2019-03-07,2775
04:00:00,2019-03-07,2745
04:15:00,2019-03-07,2674
04:30:00,2019-03-07,3039
04:45:00,2019-03-07,3487
05:00:00,2019-03-07,3358
05:15:00,2019-03-07,2691
05:30:00,2019-03-07,3081
05:45:00,2019-03-07,2878
06:00:00,2019-03-07,2920
06:15:00,2019-03-07,3550
06:30:00,2019-03-07,4138
06:45:00,2019-03-07,4362
07:00:00,2019-03-07,5319
07:15:00,2019-03-07,6407
07:30:00,2019-03-07,10004
07:45:00,2019-03-07,19804
08:00:00,2019-03-07,24871
08:15:00,2019-03-07,15270
08:30:00,2019-03-07,13735
08:45:00,2019-03-07,15325
09:00:00,2019-03-07,17078
09:15:00,2019-03-07,11484
09:30:00,2019-03-07,11895
09:45:00,2019-03-07,22001
10:00:00,2019-03-07,14711
10:15:00,2019-03-07,14695
10:30:00,2019-03-07,15246
10:45:00,2019-03-07,17852
11:00:00,2019-03-07,19356
11:15:00,2019-03-07,21902
11:30:00,2019-03-07,14734
11:45:00,2019-03-07,16422
12:00:00,2019-03-07,15303
12:15:00,2019-03-07,14790
12:30:00,2019-03-07,11912
12:45:00,2019-03-07,13177
13:00:00,2019-03-07,14412
13:15:00,2019-03-07,11395
13:30:00,2019-03-07,13337
13:45:00,2019-03-07,16727
14:00:00,2019-03-07,18556
14:15:00,2019-03-07,14106
14:30:00,2019-03-07,17902
14:45:00,2019-03-07,12665
15:00:00,2019-03-07,12935
15:15:00,2019-03-07,13139
15:30:00,2019-03-07,12625
15:45:00,2019-03-07,14647
16:00:00,2019-03-07,21176
16:15:00,2019-03-07,11752
16:30:00,2019-03-07,11713
16:45:00,2019-03-07,8795
17:00:00,2019-03-07,5870
17:15:00,2019-03-07,4245
17:30:00,2019-03-07,4662
17:45:00,2019-03-07,4577
18:00:00,2019-03-07,3669
18:15:00,2019-03-07,3486
18:30:00,2019-03-07,3761
18:45:00,2019-03-07,3343
19:00:00,2019-03-07,4177
19:15:00,2019-03-07,2995
19:30:00,2019-03-07,2942
19:45:00,2019-03-07,3499
20:00:00,2019-03-07,9365
20:15:00,2019-03-07,2813
20:30:00,2019-03-07,3075
20:45:00,2019-03-07,2778
21:00:00,2019-03-07,2919
21:15:00,2019-03-07,2708
21:30:00,2019-03-07,3288
21:45:00,2019-03-07,3068
22:00:00,2019-03-07,2937
22:15:00,2019-03-07,2993
22:30:00,2019-03-07,2785
22:45:00,2019-03-07,2851
23:00:00,2019-03-07,2804
23:15:00,2019-03-07,2832
23:30:00,2019-03-07,2829
23:45:00,2019-03-07,2656
