Time,Date,Total
00:00:00,2019-01-19,4590
00:15:00,2019-01-19,4588
00:30:00,2019-01-19,4650
00:45:00,2019-01-19,4613
01:00:00,2019-01-19,4559
01:15:00,2019-01-19,4543
01:30:00,2019-01-19,4601
01:45:00,2019-01-19,4523
02:00:00,2019-01-19,4653
02:15:00,2019-01-19,4512
02:30:00,2019-01-19,4723
02:45:00,2019-01-19,4572
03:00:00,2019-01-19,4673
03:15:00,2019-01-19,4706
03:30:00,2019-01-19,4585
03:45:00,2019-01-19,4636
04:00:00,2019-01-19,4633
04:15:00,2019-01-19,4585
04:30:00,2019-01-19,4663
04:45:00,2019-01-19,4591
05:00:00,2019-01-19,4588
05:15:00,2019-01-19,4660
05:30:00,2019-01-19,4542
05:45:00,2019-01-19,4510
06:00:00,2019-01-19,4558
06:15:00,2019-01-19,4550
06:30:00,2019-01-19,4777
06:45:00,2019-01-19,4745
07:00:00,2019-01-19,4829
07:15:00,2019-01-19,4649
07:30:00,2019-01-19,4783
07:45:00,2019-01-19,5774
08:00:00,2019-01-19,5771
08:15:00,2019-01-19,5664
08:30:00,2019-01-19,4947
08:45:00,2019-01-19,5081
09:00:00,2019-01-19,5455
09:15:00,2019-01-19,5011
09:30:00,2019-01-19,5215
09:45:00,2019-01-19,5258
10:00:00,2019-01-19,5592
10:15:00,2019-01-19,6676
10:30:00,2019-01-19,5258
10:45:00,2019-01-19,5846
11:00:00,2019-01-19,5697
11:15:00,2019-01-19,5300
11:30:00,2019-01-19,4940
11:45:00,2019-01-19,5061
12:00:00,2019-01-19,5112
12:15:00,2019-01-19,5220
12:30:00,2019-01-19,4886
12:45:00,2019-01-19,4851
13:00:00,2019-01-19,4933
13:15:00,2019-01-19,4767
13:30:00,2019-01-19,4790
13:45:00,2019-01-19,4738
14:00:00,2019-01-19,4950
14:15:00,2019-01-19,4988
14:30:00,2019-01-19,4831
14:45:00,2019-01-19,4830
15:00:00,2019-01-19,4876
15:15:00,2019-01-19,4628
15:30:00,2019-01-19,4640
15:45:00,2019-01-19,4723
16:00:00,2019-01-19,4958
16:15:00,2019-01-19,4728
16:30:00,2019-01-19,4704
16:45:00,2019-01-19,4764
17:00:00,2019-01-19,4637
17:15:00,2019-01-19,5068
17:30:00,2019-01-19,4587
17:45:00,2019-01-19,4671
18:00:00,2019-01-19,4616
18:15:00,2019-01-19,4551
18:30:00,2019-01-19,4691
18:45:00,2019-01-19,4596
19:00:00,2019-01-19,4642
19:15:00,2019-01-19,4672
19:30:00,2019-01-19,4599
19:45:00,2019-01-19,4535
20:00:00,2019-01-19,4632
20:15:00,2019-01-19,4684
20:30:00,2019-01-19,4561
20:45:00,2019-01-19,4535
21:00:00,2019-01-19,4571
21:15:00,2019-01-19,4535
21:30:00,2019-01-19,5108
21:45:00,2019-01-19,5423
22:00:00,2019-01-19,4592
22:15:00,2019-01-19,4607
22:30:00,2019-01-19,4648
22:45:00,2019-01-19,4550
23:00:00,2019-01-19,4573
23:15:00,2019-01-19,4541
23:30:00,2019-01-19,4625
23:45:00,2019-01-19,4534
