Time,Date,Total
00:00:00,2019-01-31,3279
00:15:00,2019-01-31,228
00:30:00,2019-01-31,3374
00:45:00,2019-01-31,57
01:00:00,2019-01-31,3331
01:15:00,2019-01-31,53
01:30:00,2019-01-31,3286
01:45:00,2019-01-31,60
02:00:00,2019-01-31,3289
02:15:00,2019-01-31,52
02:30:00,2019-01-31,3285
02:45:00,2019-01-31,52
03:00:00,2019-01-31,3286
03:15:00,2019-01-31,60
03:30:00,2019-01-31,3340
03:45:00,2019-01-31,48
04:00:00,2019-01-31,3293
04:15:00,2019-01-31,97
04:30:00,2019-01-31,3285
04:45:00,2019-01-31,67
05:00:00,2019-01-31,3340
05:15:00,2019-01-31,52
05:30:00,2019-01-31,3289
05:45:00,2019-01-31,101
06:00:00,2019-01-31,3278
06:15:00,2019-01-31,52
06:30:00,2019-01-31,3335
06:45:00,2019-01-31,48
07:00:00,2019-01-31,3277
07:15:00,2019-01-31,103
07:30:00,2019-01-31,3283
07:45:00,2019-01-31,64
08:00:00,2019-01-31,3274
08:15:00,2019-01-31,96
08:30:00,2019-01-31,3221
08:45:00,2019-01-31,55
09:00:00,2019-01-31,3558
09:15:00,2019-01-31,60
09:30:00,2019-01-31,3579
09:45:00,2019-01-31,55
10:00:00,2019-01-31,3274
10:15:00,2019-01-31,112
10:30:00,2019-01-31,3435
10:45:00,2019-01-31,73
11:00:00,2019-01-31,3453
11:15:00,2019-01-31,485
11:30:00,2019-01-31,3194
11:45:00,2019-01-31,98
12:00:00,2019-01-31,3578
12:15:00,2019-01-31,190
12:30:00,2019-01-31,3364
12:45:00,2019-01-31,91
13:00:00,2019-01-31,3278
13:15:00,2019-01-31,70
13:30:00,2019-01-31,3267
13:45:00,2019-01-31,45
14:00:00,2019-01-31,3353
14:15:00,2019-01-31,48
14:30:00,2019-01-31,3250
14:45:00,2019-01-31,45
15:00:00,2019-01-31,3254
15:15:00,2019-01-31,45
15:30:00,2019-01-31,3224
15:45:00,2019-01-31,100
16:00:00,2019-01-31,3223
16:15:00,2019-01-31,45
16:30:00,2019-01-31,3248
16:45:00,2019-01-31,41
17:00:00,2019-01-31,3328
17:15:00,2019-01-31,43
17:30:00,2019-01-31,3168
17:45:00,2019-01-31,48
18:00:00,2019-01-31,3170
18:15:00,2019-01-31,46
18:30:00,2019-01-31,3186
18:45:00,2019-01-31,44
19:00:00,2019-01-31,3186
19:15:00,2019-01-31,40
19:30:00,2019-01-31,3194
19:45:00,2019-01-31,40
20:00:00,2019-01-31,3325
20:15:00,2019-01-31,42
20:30:00,2019-01-31,3194
20:45:00,2019-01-31,41
21:00:00,2019-01-31,3191
21:15:00,2019-01-31,41
21:30:00,2019-01-31,3226
21:45:00,2019-01-31,41
22:00:00,2019-01-31,3191
22:15:00,2019-01-31,43
22:30:00,2019-01-31,3194
22:45:00,2019-01-31,41
23:00:00,2019-01-31,3192
23:15:00,2019-01-31,41
23:30:00,2019-01-31,3250
23:45:00,2019-01-31,41
