Time,Date,Total
00:00:00,2019-02-26,121500
00:15:00,2019-02-26,152629
00:30:00,2019-02-26,115485
00:45:00,2019-02-26,88100
01:00:00,2019-02-26,97442
01:15:00,2019-02-26,86575
01:30:00,2019-02-26,98257
01:45:00,2019-02-26,87025
02:00:00,2019-02-26,100154
02:15:00,2019-02-26,87685
02:30:00,2019-02-26,94092
02:45:00,2019-02-26,86196
03:00:00,2019-02-26,90308
03:15:00,2019-02-26,86503
03:30:00,2019-02-26,92676
03:45:00,2019-02-26,88998
04:00:00,2019-02-26,99060
04:15:00,2019-02-26,89504
04:30:00,2019-02-26,97928
04:45:00,2019-02-26,95831
05:00:00,2019-02-26,101205
05:15:00,2019-02-26,102622
05:30:00,2019-02-26,99322
05:45:00,2019-02-26,92240
06:00:00,2019-02-26,94064
06:15:00,2019-02-26,93791
06:30:00,2019-02-26,106090
06:45:00,2019-02-26,117944
07:00:00,2019-02-26,110940
07:15:00,2019-02-26,118205
07:30:00,2019-02-26,135463
07:45:00,2019-02-26,184395
08:00:00,2019-02-26,9765
08:15:00,2019-02-26,160
08:30:00,2019-02-26,40
09:45:00,2019-02-26,55360
10:00:00,2019-02-26,229118
10:15:00,2019-02-26,185087
10:30:00,2019-02-26,175083
10:45:00,2019-02-26,171752
11:00:00,2019-02-26,159004
11:15:00,2019-02-26,164604
11:30:00,2019-02-26,149541
11:45:00,2019-02-26,187738
12:00:00,2019-02-26,229052
12:15:00,2019-02-26,227506
12:30:00,2019-02-26,181057
12:45:00,2019-02-26,185060
13:00:00,2019-02-26,174168
13:15:00,2019-02-26,191512
13:30:00,2019-02-26,179779
13:45:00,2019-02-26,179108
14:00:00,2019-02-26,156731
14:15:00,2019-02-26,139370
14:30:00,2019-02-26,156901
14:45:00,2019-02-26,156473
15:00:00,2019-02-26,161324
15:15:00,2019-02-26,160870
15:30:00,2019-02-26,137603
15:45:00,2019-02-26,150488
16:00:00,2019-02-26,137754
16:15:00,2019-02-26,155534
16:30:00,2019-02-26,122013
16:45:00,2019-02-26,118185
17:00:00,2019-02-26,106829
17:15:00,2019-02-26,109418
17:30:00,2019-02-26,104486
17:45:00,2019-02-26,103842
18:00:00,2019-02-26,101850
18:15:00,2019-02-26,90349
18:30:00,2019-02-26,92264
18:45:00,2019-02-26,99205
19:00:00,2019-02-26,101073
19:15:00,2019-02-26,100734
19:30:00,2019-02-26,101888
19:45:00,2019-02-26,94787
20:00:00,2019-02-26,125789
20:15:00,2019-02-26,98239
20:30:00,2019-02-26,99130
20:45:00,2019-02-26,100546
21:00:00,2019-02-26,96646
21:15:00,2019-02-26,102336
21:30:00,2019-02-26,107648
21:45:00,2019-02-26,108480
22:00:00,2019-02-26,105386
22:15:00,2019-02-26,107859
22:30:00,2019-02-26,106076
22:45:00,2019-02-26,104932
23:00:00,2019-02-26,109318
23:15:00,2019-02-26,102976
23:30:00,2019-02-26,98280
23:45:00,2019-02-26,100290
