Time,Date,Total
00:00:00,2018-09-25,40387
00:15:00,2018-09-25,20707
00:30:00,2018-09-25,24087
00:45:00,2018-09-25,17841
01:00:00,2018-09-25,22356
01:15:00,2018-09-25,17712
01:30:00,2018-09-25,21123
01:45:00,2018-09-25,19958
02:00:00,2018-09-25,23808
02:15:00,2018-09-25,18042
02:30:00,2018-09-25,22099
02:45:00,2018-09-25,17669
03:00:00,2018-09-25,22484
03:15:00,2018-09-25,18624
03:30:00,2018-09-25,23007
03:45:00,2018-09-25,19064
04:00:00,2018-09-25,23914
04:15:00,2018-09-25,19030
04:30:00,2018-09-25,23769
04:45:00,2018-09-25,19209
05:00:00,2018-09-25,25167
05:15:00,2018-09-25,19292
05:30:00,2018-09-25,23690
05:45:00,2018-09-25,18989
06:00:00,2018-09-25,21135
06:15:00,2018-09-25,18723
06:30:00,2018-09-25,24228
06:45:00,2018-09-25,24721
07:00:00,2018-09-25,28450
07:15:00,2018-09-25,30028
07:30:00,2018-09-25,39767
07:45:00,2018-09-25,46052
08:00:00,2018-09-25,48197
08:15:00,2018-09-25,41502
08:30:00,2018-09-25,46926
08:45:00,2018-09-25,41289
09:00:00,2018-09-25,40522
09:15:00,2018-09-25,37086
09:30:00,2018-09-25,44628
09:45:00,2018-09-25,44443
10:00:00,2018-09-25,45705
10:15:00,2018-09-25,43864
10:30:00,2018-09-25,44373
10:45:00,2018-09-25,42267
11:00:00,2018-09-25,48651
11:15:00,2018-09-25,47236
11:30:00,2018-09-25,49200
11:45:00,2018-09-25,46655
12:00:00,2018-09-25,69221
12:15:00,2018-09-25,57023
12:30:00,2018-09-25,52215
12:45:00,2018-09-25,44778
13:00:00,2018-09-25,50305
13:15:00,2018-09-25,44918
13:30:00,2018-09-25,48718
13:45:00,2018-09-25,45348
14:00:00,2018-09-25,45979
14:15:00,2018-09-25,42238
14:30:00,2018-09-25,48201
14:45:00,2018-09-25,44491
15:00:00,2018-09-25,48051
15:15:00,2018-09-25,48178
15:30:00,2018-09-25,44617
15:45:00,2018-09-25,37582
16:00:00,2018-09-25,37295
16:15:00,2018-09-25,33995
16:30:00,2018-09-25,31965
16:45:00,2018-09-25,25878
17:00:00,2018-09-25,27181
17:15:00,2018-09-25,19769
17:30:00,2018-09-25,23066
17:45:00,2018-09-25,19263
18:00:00,2018-09-25,19911
18:15:00,2018-09-25,18993
18:30:00,2018-09-25,21876
18:45:00,2018-09-25,18445
19:00:00,2018-09-25,23446
19:15:00,2018-09-25,19518
19:30:00,2018-09-25,22737
19:45:00,2018-09-25,20197
20:00:00,2018-09-25,27052
20:15:00,2018-09-25,21217
20:30:00,2018-09-25,23954
20:45:00,2018-09-25,18404
21:00:00,2018-09-25,23873
21:15:00,2018-09-25,17952
21:30:00,2018-09-25,22376
21:45:00,2018-09-25,18131
22:00:00,2018-09-25,22846
22:15:00,2018-09-25,18828
22:30:00,2018-09-25,21812
22:45:00,2018-09-25,19593
23:00:00,2018-09-25,27293
23:15:00,2018-09-25,20214
23:30:00,2018-09-25,23110
23:45:00,2018-09-25,18009
