Time,Date,Total
00:00:00,2018-10-12,61
00:15:00,2018-10-12,44
00:30:00,2018-10-12,42
00:45:00,2018-10-12,64
01:00:00,2018-10-12,43
01:15:00,2018-10-12,45
01:30:00,2018-10-12,48
01:45:00,2018-10-12,53
02:00:00,2018-10-12,41
02:15:00,2018-10-12,49
02:30:00,2018-10-12,37
02:45:00,2018-10-12,44
03:00:00,2018-10-12,84
03:15:00,2018-10-12,67
03:30:00,2018-10-12,69
03:45:00,2018-10-12,89
04:00:00,2018-10-12,75
04:15:00,2018-10-12,84
04:30:00,2018-10-12,67
04:45:00,2018-10-12,82
05:00:00,2018-10-12,70
05:15:00,2018-10-12,78
05:30:00,2018-10-12,59
05:45:00,2018-10-12,53
06:00:00,2018-10-12,46
06:15:00,2018-10-12,62
06:30:00,2018-10-12,57
06:45:00,2018-10-12,63
07:00:00,2018-10-12,55
07:15:00,2018-10-12,105
07:30:00,2018-10-12,127
07:45:00,2018-10-12,220
08:00:00,2018-10-12,189
08:15:00,2018-10-12,162
08:30:00,2018-10-12,133
08:45:00,2018-10-12,107
09:00:00,2018-10-12,100
09:15:00,2018-10-12,71
09:30:00,2018-10-12,111
09:45:00,2018-10-12,87
10:00:00,2018-10-12,83
10:15:00,2018-10-12,89
10:30:00,2018-10-12,85
10:45:00,2018-10-12,97
11:00:00,2018-10-12,89
11:15:00,2018-10-12,76
11:30:00,2018-10-12,72
11:45:00,2018-10-12,124
12:00:00,2018-10-12,74
12:15:00,2018-10-12,100
12:30:00,2018-10-12,70
12:45:00,2018-10-12,99
13:00:00,2018-10-12,96
13:15:00,2018-10-12,88
13:30:00,2018-10-12,63
13:45:00,2018-10-12,74
14:00:00,2018-10-12,79
14:15:00,2018-10-12,94
14:30:00,2018-10-12,79
14:45:00,2018-10-12,62
15:00:00,2018-10-12,75
15:15:00,2018-10-12,82
15:30:00,2018-10-12,82
15:45:00,2018-10-12,111
16:00:00,2018-10-12,82
16:15:00,2018-10-12,82
16:30:00,2018-10-12,57
16:45:00,2018-10-12,44
17:00:00,2018-10-12,23
17:15:00,2018-10-12,38
17:30:00,2018-10-12,42
17:45:00,2018-10-12,30
18:00:00,2018-10-12,19
18:15:00,2018-10-12,38
18:30:00,2018-10-12,22
18:45:00,2018-10-12,39
19:00:00,2018-10-12,26
19:15:00,2018-10-12,33
19:30:00,2018-10-12,30
19:45:00,2018-10-12,41
20:00:00,2018-10-12,62
20:15:00,2018-10-12,64
20:30:00,2018-10-12,23
20:45:00,2018-10-12,23
21:00:00,2018-10-12,36
21:15:00,2018-10-12,72
21:30:00,2018-10-12,130
21:45:00,2018-10-12,31
22:00:00,2018-10-12,30
22:15:00,2018-10-12,37
22:30:00,2018-10-12,24
22:45:00,2018-10-12,23
23:00:00,2018-10-12,28
23:15:00,2018-10-12,30
23:30:00,2018-10-12,22
23:45:00,2018-10-12,26
