Time,Date,Total
00:00:00,2018-12-22,8751
00:15:00,2018-12-22,7867
00:30:00,2018-12-22,7326
00:45:00,2018-12-22,6595
01:00:00,2018-12-22,6863
01:15:00,2018-12-22,6608
01:30:00,2018-12-22,7229
01:45:00,2018-12-22,6981
02:00:00,2018-12-22,6631
02:15:00,2018-12-22,7460
02:30:00,2018-12-22,6374
02:45:00,2018-12-22,6590
03:00:00,2018-12-22,7272
03:15:00,2018-12-22,5776
03:30:00,2018-12-22,6249
03:45:00,2018-12-22,5898
04:00:00,2018-12-22,6056
04:15:00,2018-12-22,6301
04:30:00,2018-12-22,7200
04:45:00,2018-12-22,6200
05:00:00,2018-12-22,5984
05:15:00,2018-12-22,6903
05:30:00,2018-12-22,6902
05:45:00,2018-12-22,6526
06:00:00,2018-12-22,6809
06:15:00,2018-12-22,6220
06:30:00,2018-12-22,6042
06:45:00,2018-12-22,6059
07:00:00,2018-12-22,6548
07:15:00,2018-12-22,8236
07:30:00,2018-12-22,8904
07:45:00,2018-12-22,8787
08:00:00,2018-12-22,11148
08:15:00,2018-12-22,9122
08:30:00,2018-12-22,8574
08:45:00,2018-12-22,7658
09:00:00,2018-12-22,8582
09:15:00,2018-12-22,7638
09:30:00,2018-12-22,8758
09:45:00,2018-12-22,8740
10:00:00,2018-12-22,7948
10:15:00,2018-12-22,7990
10:30:00,2018-12-22,7390
10:45:00,2018-12-22,6622
11:00:00,2018-12-22,8620
11:15:00,2018-12-22,8595
11:30:00,2018-12-22,7948
11:45:00,2018-12-22,7914
12:00:00,2018-12-22,8428
12:15:00,2018-12-22,7800
12:30:00,2018-12-22,10166
12:45:00,2018-12-22,8582
13:00:00,2018-12-22,9071
13:15:00,2018-12-22,9424
13:30:00,2018-12-22,8190
13:45:00,2018-12-22,8737
14:00:00,2018-12-22,10477
14:15:00,2018-12-22,8212
14:30:00,2018-12-22,8085
14:45:00,2018-12-22,7952
15:00:00,2018-12-22,8898
15:15:00,2018-12-22,8009
15:30:00,2018-12-22,9367
15:45:00,2018-12-22,8217
16:00:00,2018-12-22,7956
16:15:00,2018-12-22,8976
16:30:00,2018-12-22,7932
16:45:00,2018-12-22,8462
17:00:00,2018-12-22,7557
17:15:00,2018-12-22,7066
17:30:00,2018-12-22,9177
17:45:00,2018-12-22,7562
18:00:00,2018-12-22,7527
18:15:00,2018-12-22,8171
18:30:00,2018-12-22,8750
18:45:00,2018-12-22,8148
19:00:00,2018-12-22,6952
19:15:00,2018-12-22,8315
19:30:00,2018-12-22,8547
19:45:00,2018-12-22,7576
20:00:00,2018-12-22,8150
20:15:00,2018-12-22,7641
20:30:00,2018-12-22,6786
20:45:00,2018-12-22,7454
21:00:00,2018-12-22,6576
21:15:00,2018-12-22,6526
21:30:00,2018-12-22,6639
21:45:00,2018-12-22,6276
22:00:00,2018-12-22,6410
22:15:00,2018-12-22,7037
22:30:00,2018-12-22,6837
22:45:00,2018-12-22,5950
23:00:00,2018-12-22,7840
23:15:00,2018-12-22,6500
23:30:00,2018-12-22,6991
23:45:00,2018-12-22,5939
