Time,Date,Total
00:00:00,2018-09-25,16061
00:15:00,2018-09-25,15140
00:30:00,2018-09-25,15005
00:45:00,2018-09-25,9966
01:00:00,2018-09-25,10202
01:15:00,2018-09-25,9366
01:30:00,2018-09-25,9923
01:45:00,2018-09-25,12451
02:00:00,2018-09-25,12644
02:15:00,2018-09-25,9296
02:30:00,2018-09-25,10157
02:45:00,2018-09-25,9624
03:00:00,2018-09-25,11217
03:15:00,2018-09-25,11687
03:30:00,2018-09-25,12283
03:45:00,2018-09-25,13187
04:00:00,2018-09-25,12953
04:15:00,2018-09-25,11310
04:30:00,2018-09-25,13069
04:45:00,2018-09-25,11532
05:00:00,2018-09-25,14711
05:15:00,2018-09-25,12975
05:30:00,2018-09-25,20405
05:45:00,2018-09-25,19054
06:00:00,2018-09-25,16854
06:15:00,2018-09-25,11142
06:30:00,2018-09-25,13325
06:45:00,2018-09-25,20557
07:00:00,2018-09-25,16848
07:15:00,2018-09-25,24115
07:30:00,2018-09-25,33073
07:45:00,2018-09-25,45737
08:00:00,2018-09-25,43995
08:15:00,2018-09-25,56921
08:30:00,2018-09-25,47304
08:45:00,2018-09-25,42385
09:00:00,2018-09-25,29764
09:15:00,2018-09-25,30159
09:30:00,2018-09-25,31841
09:45:00,2018-09-25,36885
10:00:00,2018-09-25,32445
10:15:00,2018-09-25,36056
10:30:00,2018-09-25,30564
10:45:00,2018-09-25,33709
11:00:00,2018-09-25,36820
11:15:00,2018-09-25,40003
11:30:00,2018-09-25,38373
11:45:00,2018-09-25,41310
12:00:00,2018-09-25,44626
12:15:00,2018-09-25,44069
12:30:00,2018-09-25,43791
12:45:00,2018-09-25,36850
13:00:00,2018-09-25,38676
13:15:00,2018-09-25,37897
13:30:00,2018-09-25,36052
13:45:00,2018-09-25,38796
14:00:00,2018-09-25,31064
14:15:00,2018-09-25,34122
14:30:00,2018-09-25,33918
14:45:00,2018-09-25,35972
15:00:00,2018-09-25,33844
15:15:00,2018-09-25,41142
15:30:00,2018-09-25,30098
15:45:00,2018-09-25,29287
16:00:00,2018-09-25,24801
16:15:00,2018-09-25,26137
16:30:00,2018-09-25,20335
16:45:00,2018-09-25,18550
17:00:00,2018-09-25,14298
17:15:00,2018-09-25,9696
17:30:00,2018-09-25,9698
17:45:00,2018-09-25,10051
18:00:00,2018-09-25,10544
18:15:00,2018-09-25,10333
18:30:00,2018-09-25,9242
18:45:00,2018-09-25,9053
19:00:00,2018-09-25,10253
19:15:00,2018-09-25,9388
19:30:00,2018-09-25,10539
19:45:00,2018-09-25,10431
20:00:00,2018-09-25,16675
20:15:00,2018-09-25,13224
20:30:00,2018-09-25,12725
20:45:00,2018-09-25,9048
21:00:00,2018-09-25,11332
21:15:00,2018-09-25,8928
21:30:00,2018-09-25,10964
21:45:00,2018-09-25,9924
22:00:00,2018-09-25,9794
22:15:00,2018-09-25,9561
22:30:00,2018-09-25,9657
22:45:00,2018-09-25,10927
23:00:00,2018-09-25,17176
23:15:00,2018-09-25,11150
23:30:00,2018-09-25,11307
23:45:00,2018-09-25,9014
