Time,Date,Total
00:00:00,2019-01-04,2367
00:15:00,2019-01-04,2400
00:30:00,2019-01-04,2153
00:45:00,2019-01-04,2169
01:00:00,2019-01-04,2085
01:15:00,2019-01-04,2362
01:30:00,2019-01-04,2161
01:45:00,2019-01-04,2150
02:00:00,2019-01-04,2355
02:15:00,2019-01-04,2268
02:30:00,2019-01-04,2045
02:45:00,2019-01-04,2281
03:00:00,2019-01-04,2227
03:15:00,2019-01-04,2207
03:30:00,2019-01-04,2193
03:45:00,2019-01-04,2122
04:00:00,2019-01-04,2461
04:15:00,2019-01-04,2275
04:30:00,2019-01-04,3209
04:45:00,2019-01-04,3144
05:00:00,2019-01-04,2863
05:15:00,2019-01-04,2935
05:30:00,2019-01-04,2761
05:45:00,2019-01-04,2809
06:00:00,2019-01-04,2582
06:15:00,2019-01-04,3655
06:30:00,2019-01-04,2555
06:45:00,2019-01-04,3548
07:00:00,2019-01-04,5509
07:15:00,2019-01-04,6796
07:30:00,2019-01-04,11690
07:45:00,2019-01-04,16040
08:00:00,2019-01-04,17064
08:15:00,2019-01-04,14282
08:30:00,2019-01-04,12176
08:45:00,2019-01-04,14815
09:00:00,2019-01-04,15866
09:15:00,2019-01-04,11611
09:30:00,2019-01-04,14718
09:45:00,2019-01-04,24386
10:00:00,2019-01-04,13744
10:15:00,2019-01-04,12214
10:30:00,2019-01-04,15569
10:45:00,2019-01-04,16307
11:00:00,2019-01-04,13658
11:15:00,2019-01-04,16575
11:30:00,2019-01-04,12389
11:45:00,2019-01-04,12625
12:00:00,2019-01-04,14523
12:15:00,2019-01-04,12092
12:30:00,2019-01-04,10690
12:45:00,2019-01-04,13399
13:00:00,2019-01-04,15776
13:15:00,2019-01-04,12452
13:30:00,2019-01-04,15278
13:45:00,2019-01-04,23722
14:00:00,2019-01-04,17755
14:15:00,2019-01-04,16941
14:30:00,2019-01-04,23777
14:45:00,2019-01-04,18586
15:00:00,2019-01-04,14369
15:15:00,2019-01-04,19907
15:30:00,2019-01-04,19812
15:45:00,2019-01-04,18464
16:00:00,2019-01-04,14743
16:15:00,2019-01-04,17868
16:30:00,2019-01-04,15912
16:45:00,2019-01-04,7560
17:00:00,2019-01-04,8004
17:15:00,2019-01-04,9341
17:30:00,2019-01-04,7935
17:45:00,2019-01-04,3169
18:00:00,2019-01-04,4122
18:15:00,2019-01-04,2553
18:30:00,2019-01-04,2381
18:45:00,2019-01-04,2670
19:00:00,2019-01-04,2462
19:15:00,2019-01-04,2301
19:30:00,2019-01-04,3144
19:45:00,2019-01-04,4085
20:00:00,2019-01-04,8577
20:15:00,2019-01-04,2415
20:30:00,2019-01-04,2203
20:45:00,2019-01-04,2351
21:00:00,2019-01-04,2414
21:15:00,2019-01-04,3071
21:30:00,2019-01-04,14991
21:45:00,2019-01-04,3591
22:00:00,2019-01-04,2723
22:15:00,2019-01-04,3040
22:30:00,2019-01-04,3316
22:45:00,2019-01-04,7092
23:00:00,2019-01-04,11785
23:15:00,2019-01-04,7860
23:30:00,2019-01-04,3457
23:45:00,2019-01-04,5553
