Time,Date,Total
00:00:00,2018-11-04,3928
00:15:00,2018-11-04,3753
00:30:00,2018-11-04,3812
00:45:00,2018-11-04,3793
01:00:00,2018-11-04,3806
01:15:00,2018-11-04,3803
01:30:00,2018-11-04,3894
01:45:00,2018-11-04,3867
02:00:00,2018-11-04,3825
02:15:00,2018-11-04,3811
02:30:00,2018-11-04,3786
02:45:00,2018-11-04,3764
03:00:00,2018-11-04,3793
03:15:00,2018-11-04,3837
03:30:00,2018-11-04,3853
03:45:00,2018-11-04,3848
04:00:00,2018-11-04,3902
04:15:00,2018-11-04,3859
04:30:00,2018-11-04,3910
04:45:00,2018-11-04,3802
05:00:00,2018-11-04,3856
05:15:00,2018-11-04,3768
05:30:00,2018-11-04,3801
05:45:00,2018-11-04,3763
06:00:00,2018-11-04,3829
06:15:00,2018-11-04,3736
06:30:00,2018-11-04,3812
06:45:00,2018-11-04,3776
07:00:00,2018-11-04,3795
07:15:00,2018-11-04,3761
07:30:00,2018-11-04,3800
07:45:00,2018-11-04,3810
08:00:00,2018-11-04,3820
08:15:00,2018-11-04,3797
08:30:00,2018-11-04,3984
08:45:00,2018-11-04,3871
09:00:00,2018-11-04,3843
09:15:00,2018-11-04,3845
09:30:00,2018-11-04,3852
09:45:00,2018-11-04,3788
10:00:00,2018-11-04,3851
10:15:00,2018-11-04,3759
10:30:00,2018-11-04,3839
10:45:00,2018-11-04,3810
11:00:00,2018-11-04,3892
11:15:00,2018-11-04,3782
11:30:00,2018-11-04,3801
11:45:00,2018-11-04,3760
12:00:00,2018-11-04,3852
12:15:00,2018-11-04,3970
12:30:00,2018-11-04,3862
12:45:00,2018-11-04,3747
13:00:00,2018-11-04,3952
13:15:00,2018-11-04,3768
13:30:00,2018-11-04,3780
13:45:00,2018-11-04,3763
14:00:00,2018-11-04,3836
14:15:00,2018-11-04,3765
14:30:00,2018-11-04,3791
14:45:00,2018-11-04,3749
15:00:00,2018-11-04,3800
15:15:00,2018-11-04,3740
15:30:00,2018-11-04,3809
15:45:00,2018-11-04,3800
16:00:00,2018-11-04,3821
16:15:00,2018-11-04,3825
16:30:00,2018-11-04,3814
16:45:00,2018-11-04,3813
17:00:00,2018-11-04,3856
17:15:00,2018-11-04,3755
17:30:00,2018-11-04,3846
17:45:00,2018-11-04,3793
18:00:00,2018-11-04,3797
18:15:00,2018-11-04,3772
18:30:00,2018-11-04,3802
18:45:00,2018-11-04,3758
19:00:00,2018-11-04,3775
19:15:00,2018-11-04,3756
19:30:00,2018-11-04,3893
19:45:00,2018-11-04,3804
20:00:00,2018-11-04,3856
20:15:00,2018-11-04,3790
20:30:00,2018-11-04,3813
20:45:00,2018-11-04,3797
21:00:00,2018-11-04,3909
21:15:00,2018-11-04,3894
21:30:00,2018-11-04,3783
21:45:00,2018-11-04,3762
22:00:00,2018-11-04,3794
22:15:00,2018-11-04,3752
22:30:00,2018-11-04,3891
22:45:00,2018-11-04,4049
23:00:00,2018-11-04,4015
23:15:00,2018-11-04,3783
23:30:00,2018-11-04,3809
23:45:00,2018-11-04,3713
