Time,Date,Total
00:00:00,2019-01-30,5665
00:15:00,2019-01-30,144
00:30:00,2019-01-30,3334
00:45:00,2019-01-30,44
01:00:00,2019-01-30,3279
01:15:00,2019-01-30,44
01:30:00,2019-01-30,3277
01:45:00,2019-01-30,45
02:00:00,2019-01-30,3329
02:15:00,2019-01-30,45
02:30:00,2019-01-30,3286
02:45:00,2019-01-30,52
03:00:00,2019-01-30,3275
03:15:00,2019-01-30,44
03:30:00,2019-01-30,3286
03:45:00,2019-01-30,46
04:00:00,2019-01-30,3337
04:15:00,2019-01-30,45
04:30:00,2019-01-30,3288
04:45:00,2019-01-30,490
05:00:00,2019-01-30,3785
05:15:00,2019-01-30,54
05:30:00,2019-01-30,3340
05:45:00,2019-01-30,44
06:00:00,2019-01-30,3286
06:15:00,2019-01-30,99
06:30:00,2019-01-30,2856
06:45:00,2019-01-30,56
07:00:00,2019-01-30,3199
07:15:00,2019-01-30,47
07:30:00,2019-01-30,3309
07:45:00,2019-01-30,29411
08:00:00,2019-01-30,39356
08:15:00,2019-01-30,40682
08:30:00,2019-01-30,39623
08:45:00,2019-01-30,39738
09:00:00,2019-01-30,44294
09:15:00,2019-01-30,38432
09:30:00,2019-01-30,45076
09:45:00,2019-01-30,40882
10:00:00,2019-01-30,42668
10:15:00,2019-01-30,40376
10:30:00,2019-01-30,42139
10:45:00,2019-01-30,37344
11:00:00,2019-01-30,42265
11:15:00,2019-01-30,39573
11:30:00,2019-01-30,42647
11:45:00,2019-01-30,39664
12:00:00,2019-01-30,44637
12:15:00,2019-01-30,37819
12:30:00,2019-01-30,41374
12:45:00,2019-01-30,39065
13:00:00,2019-01-30,42086
13:15:00,2019-01-30,39284
13:30:00,2019-01-30,43670
13:45:00,2019-01-30,40397
14:00:00,2019-01-30,42079
14:15:00,2019-01-30,36870
14:30:00,2019-01-30,26599
14:45:00,2019-01-30,179
15:00:00,2019-01-30,3239
15:15:00,2019-01-30,184
15:30:00,2019-01-30,3385
15:45:00,2019-01-30,52
16:00:00,2019-01-30,3233
16:15:00,2019-01-30,53
16:30:00,2019-01-30,3262
16:45:00,2019-01-30,45
17:00:00,2019-01-30,3293
17:15:00,2019-01-30,47
17:30:00,2019-01-30,3277
17:45:00,2019-01-30,43
18:00:00,2019-01-30,3349
18:15:00,2019-01-30,103
18:30:00,2019-01-30,3277
18:45:00,2019-01-30,101
19:00:00,2019-01-30,3290
19:15:00,2019-01-30,53
19:30:00,2019-01-30,3282
19:45:00,2019-01-30,46
20:00:00,2019-01-30,3276
20:15:00,2019-01-30,103
20:30:00,2019-01-30,3284
20:45:00,2019-01-30,54
21:00:00,2019-01-30,3281
21:15:00,2019-01-30,48
21:30:00,2019-01-30,3292
21:45:00,2019-01-30,50
22:00:00,2019-01-30,3278
22:15:00,2019-01-30,48
22:30:00,2019-01-30,3290
22:45:00,2019-01-30,48
23:00:00,2019-01-30,3281
23:15:00,2019-01-30,48
23:30:00,2019-01-30,3280
23:45:00,2019-01-30,45
