Time,Date,Total
00:00:00,2018-08-31,51
00:15:00,2018-08-31,49
00:30:00,2018-08-31,49
00:45:00,2018-08-31,49
01:00:00,2018-08-31,51
01:15:00,2018-08-31,49
01:30:00,2018-08-31,49
01:45:00,2018-08-31,51
02:00:00,2018-08-31,49
02:15:00,2018-08-31,49
02:30:00,2018-08-31,49
02:45:00,2018-08-31,49
03:00:00,2018-08-31,51
03:15:00,2018-08-31,49
03:30:00,2018-08-31,51
03:45:00,2018-08-31,49
04:00:00,2018-08-31,51
04:15:00,2018-08-31,49
04:30:00,2018-08-31,51
04:45:00,2018-08-31,51
05:00:00,2018-08-31,49
05:15:00,2018-08-31,51
05:30:00,2018-08-31,49
05:45:00,2018-08-31,51
06:00:00,2018-08-31,51
06:15:00,2018-08-31,49
06:30:00,2018-08-31,49
06:45:00,2018-08-31,55
07:00:00,2018-08-31,47
07:15:00,2018-08-31,49
07:30:00,2018-08-31,47
07:45:00,2018-08-31,51
08:00:00,2018-08-31,49
08:15:00,2018-08-31,49
08:30:00,2018-08-31,51
08:45:00,2018-08-31,49
09:00:00,2018-08-31,46
09:15:00,2018-08-31,47
09:30:00,2018-08-31,51
09:45:00,2018-08-31,49
10:00:00,2018-08-31,49
10:15:00,2018-08-31,51
10:30:00,2018-08-31,45
10:45:00,2018-08-31,53
11:00:00,2018-08-31,49
11:15:00,2018-08-31,49
11:30:00,2018-08-31,51
11:45:00,2018-08-31,51
12:00:00,2018-08-31,51
12:15:00,2018-08-31,47
12:30:00,2018-08-31,49
12:45:00,2018-08-31,51
13:00:00,2018-08-31,47
13:15:00,2018-08-31,51
13:30:00,2018-08-31,49
13:45:00,2018-08-31,51
14:00:00,2018-08-31,49
14:15:00,2018-08-31,47
14:30:00,2018-08-31,47
14:45:00,2018-08-31,49
15:00:00,2018-08-31,45
15:15:00,2018-08-31,61
15:30:00,2018-08-31,47
15:45:00,2018-08-31,49
16:00:00,2018-08-31,55
16:15:00,2018-08-31,49
16:30:00,2018-08-31,49
16:45:00,2018-08-31,47
17:00:00,2018-08-31,51
17:15:00,2018-08-31,49
17:30:00,2018-08-31,51
17:45:00,2018-08-31,47
18:00:00,2018-08-31,47
18:15:00,2018-08-31,55
18:30:00,2018-08-31,47
18:45:00,2018-08-31,51
19:00:00,2018-08-31,47
19:15:00,2018-08-31,49
19:30:00,2018-08-31,51
19:45:00,2018-08-31,49
20:00:00,2018-08-31,51
20:15:00,2018-08-31,47
20:30:00,2018-08-31,51
20:45:00,2018-08-31,49
21:00:00,2018-08-31,47
21:15:00,2018-08-31,51
21:30:00,2018-08-31,49
21:45:00,2018-08-31,49
22:00:00,2018-08-31,51
22:15:00,2018-08-31,49
22:30:00,2018-08-31,51
22:45:00,2018-08-31,49
23:00:00,2018-08-31,47
23:15:00,2018-08-31,57
23:30:00,2018-08-31,47
23:45:00,2018-08-31,49
