Time,Date,Total
00:00:00,2018-12-05,3175
00:15:00,2018-12-05,650
00:30:00,2018-12-05,610
00:45:00,2018-12-05,436
01:00:00,2018-12-05,542
01:15:00,2018-12-05,721
01:30:00,2018-12-05,726
01:45:00,2018-12-05,493
02:00:00,2018-12-05,598
02:15:00,2018-12-05,720
02:30:00,2018-12-05,580
02:45:00,2018-12-05,511
03:00:00,2018-12-05,603
03:15:00,2018-12-05,583
03:30:00,2018-12-05,636
03:45:00,2018-12-05,472
04:00:00,2018-12-05,723
04:15:00,2018-12-05,507
04:30:00,2018-12-05,611
04:45:00,2018-12-05,541
05:00:00,2018-12-05,803
05:15:00,2018-12-05,649
05:30:00,2018-12-05,621
05:45:00,2018-12-05,527
06:00:00,2018-12-05,607
06:15:00,2018-12-05,768
06:30:00,2018-12-05,1114
06:45:00,2018-12-05,680
07:00:00,2018-12-05,879
07:15:00,2018-12-05,830
07:30:00,2018-12-05,1317
07:45:00,2018-12-05,1512
08:00:00,2018-12-05,1861
08:15:00,2018-12-05,1725
08:30:00,2018-12-05,1462
08:45:00,2018-12-05,1836
09:00:00,2018-12-05,2056
09:15:00,2018-12-05,1821
09:30:00,2018-12-05,1800
09:45:00,2018-12-05,1358
10:00:00,2018-12-05,1766
10:15:00,2018-12-05,1602
10:30:00,2018-12-05,1575
10:45:00,2018-12-05,1226
11:00:00,2018-12-05,1582
11:15:00,2018-12-05,1813
11:30:00,2018-12-05,1055
11:45:00,2018-12-05,1116
12:00:00,2018-12-05,2976
12:15:00,2018-12-05,3161
12:30:00,2018-12-05,1532
12:45:00,2018-12-05,1145
13:00:00,2018-12-05,1278
13:15:00,2018-12-05,1704
13:30:00,2018-12-05,1267
13:45:00,2018-12-05,1293
14:00:00,2018-12-05,1048
14:15:00,2018-12-05,1054
14:30:00,2018-12-05,1112
14:45:00,2018-12-05,1310
15:00:00,2018-12-05,1277
15:15:00,2018-12-05,1231
15:30:00,2018-12-05,1021
15:45:00,2018-12-05,877
16:00:00,2018-12-05,1051
16:15:00,2018-12-05,985
16:30:00,2018-12-05,1134
16:45:00,2018-12-05,702
17:00:00,2018-12-05,625
17:15:00,2018-12-05,585
17:30:00,2018-12-05,660
17:45:00,2018-12-05,520
18:00:00,2018-12-05,550
18:15:00,2018-12-05,600
18:30:00,2018-12-05,597
18:45:00,2018-12-05,554
19:00:00,2018-12-05,636
19:15:00,2018-12-05,366
19:30:00,2018-12-05,444
19:45:00,2018-12-05,383
20:00:00,2018-12-05,611
20:15:00,2018-12-05,506
20:30:00,2018-12-05,525
20:45:00,2018-12-05,380
21:00:00,2018-12-05,491
21:15:00,2018-12-05,434
21:30:00,2018-12-05,436
21:45:00,2018-12-05,609
22:00:00,2018-12-05,575
22:15:00,2018-12-05,499
22:30:00,2018-12-05,457
22:45:00,2018-12-05,403
23:00:00,2018-12-05,504
23:15:00,2018-12-05,421
23:30:00,2018-12-05,372
23:45:00,2018-12-05,436
