Time,Date,Total
00:00:00,2019-02-20,10473
00:15:00,2019-02-20,7120
00:30:00,2019-02-20,550
00:45:00,2019-02-20,560
01:00:00,2019-02-20,594
01:15:00,2019-02-20,613
01:30:00,2019-02-20,686
01:45:00,2019-02-20,558
02:00:00,2019-02-20,911
02:15:00,2019-02-20,922
02:30:00,2019-02-20,683
02:45:00,2019-02-20,579
03:00:00,2019-02-20,631
03:15:00,2019-02-20,598
03:30:00,2019-02-20,599
03:45:00,2019-02-20,660
04:00:00,2019-02-20,589
04:15:00,2019-02-20,563
04:30:00,2019-02-20,546
04:45:00,2019-02-20,522
05:00:00,2019-02-20,529
05:15:00,2019-02-20,581
05:30:00,2019-02-20,593
05:45:00,2019-02-20,535
06:00:00,2019-02-20,612
06:15:00,2019-02-20,662
06:30:00,2019-02-20,743
06:45:00,2019-02-20,599
07:00:00,2019-02-20,627
07:15:00,2019-02-20,771
07:30:00,2019-02-20,1080
07:45:00,2019-02-20,1980
08:00:00,2019-02-20,1727
08:15:00,2019-02-20,2222
08:30:00,2019-02-20,1887
08:45:00,2019-02-20,1853
09:00:00,2019-02-20,1922
09:15:00,2019-02-20,1649
09:30:00,2019-02-20,1579
09:45:00,2019-02-20,1580
10:00:00,2019-02-20,1547
10:15:00,2019-02-20,1598
10:30:00,2019-02-20,1396
10:45:00,2019-02-20,1371
11:00:00,2019-02-20,1376
11:15:00,2019-02-20,1384
11:30:00,2019-02-20,1274
11:45:00,2019-02-20,1231
12:00:00,2019-02-20,9434
12:15:00,2019-02-20,9734
12:30:00,2019-02-20,1181
12:45:00,2019-02-20,1168
13:00:00,2019-02-20,1169
13:15:00,2019-02-20,1298
13:30:00,2019-02-20,1568
13:45:00,2019-02-20,1560
14:00:00,2019-02-20,1732
14:15:00,2019-02-20,1584
14:30:00,2019-02-20,1153
14:45:00,2019-02-20,1248
15:00:00,2019-02-20,1046
15:15:00,2019-02-20,1138
15:30:00,2019-02-20,1079
15:45:00,2019-02-20,999
16:00:00,2019-02-20,972
16:15:00,2019-02-20,1055
16:30:00,2019-02-20,913
16:45:00,2019-02-20,838
17:00:00,2019-02-20,699
17:15:00,2019-02-20,724
17:30:00,2019-02-20,668
17:45:00,2019-02-20,625
18:00:00,2019-02-20,533
18:15:00,2019-02-20,706
18:30:00,2019-02-20,620
18:45:00,2019-02-20,546
19:00:00,2019-02-20,567
19:15:00,2019-02-20,581
19:30:00,2019-02-20,567
19:45:00,2019-02-20,593
20:00:00,2019-02-20,604
20:15:00,2019-02-20,748
20:30:00,2019-02-20,652
20:45:00,2019-02-20,564
21:00:00,2019-02-20,607
21:15:00,2019-02-20,633
21:30:00,2019-02-20,649
21:45:00,2019-02-20,558
22:00:00,2019-02-20,574
22:15:00,2019-02-20,677
22:30:00,2019-02-20,744
22:45:00,2019-02-20,560
23:00:00,2019-02-20,566
23:15:00,2019-02-20,618
23:30:00,2019-02-20,693
23:45:00,2019-02-20,503
