Time,Date,Total
00:00:00,2018-12-31,32341
00:15:00,2018-12-31,28160
00:30:00,2018-12-31,32158
00:45:00,2018-12-31,27857
01:00:00,2018-12-31,31880
01:15:00,2018-12-31,28517
01:30:00,2018-12-31,31849
01:45:00,2018-12-31,27696
02:00:00,2018-12-31,32035
02:15:00,2018-12-31,27702
02:30:00,2018-12-31,31444
02:45:00,2018-12-31,27671
03:00:00,2018-12-31,31865
03:15:00,2018-12-31,27682
03:30:00,2018-12-31,32474
03:45:00,2018-12-31,27968
04:00:00,2018-12-31,31793
04:15:00,2018-12-31,28663
04:30:00,2018-12-31,32499
04:45:00,2018-12-31,28927
05:00:00,2018-12-31,32741
05:15:00,2018-12-31,28494
05:30:00,2018-12-31,31755
05:45:00,2018-12-31,27854
06:00:00,2018-12-31,31618
06:15:00,2018-12-31,28259
06:30:00,2018-12-31,32140
06:45:00,2018-12-31,28078
07:00:00,2018-12-31,35043
07:15:00,2018-12-31,35180
07:30:00,2018-12-31,47776
07:45:00,2018-12-31,53197
08:00:00,2018-12-31,61873
08:15:00,2018-12-31,51666
08:30:00,2018-12-31,54755
08:45:00,2018-12-31,53353
09:00:00,2018-12-31,60897
09:15:00,2018-12-31,53354
09:30:00,2018-12-31,54707
09:45:00,2018-12-31,60851
10:00:00,2018-12-31,68151
10:15:00,2018-12-31,52490
10:30:00,2018-12-31,53447
10:45:00,2018-12-31,54582
11:00:00,2018-12-31,49116
11:15:00,2018-12-31,52650
11:30:00,2018-12-31,58640
11:45:00,2018-12-31,47638
12:00:00,2018-12-31,38665
12:15:00,2018-12-31,30144
12:30:00,2018-12-31,31870
12:45:00,2018-12-31,27825
13:00:00,2018-12-31,31700
13:15:00,2018-12-31,27683
13:30:00,2018-12-31,29823
13:45:00,2018-12-31,26515
14:00:00,2018-12-31,30761
14:15:00,2018-12-31,28413
14:30:00,2018-12-31,30147
14:45:00,2018-12-31,26928
15:00:00,2018-12-31,30313
15:15:00,2018-12-31,27049
15:30:00,2018-12-31,29802
15:45:00,2018-12-31,26129
16:00:00,2018-12-31,30388
16:15:00,2018-12-31,27104
16:30:00,2018-12-31,29885
16:45:00,2018-12-31,25819
17:00:00,2018-12-31,30679
17:15:00,2018-12-31,28284
17:30:00,2018-12-31,30192
17:45:00,2018-12-31,26476
18:00:00,2018-12-31,30258
18:15:00,2018-12-31,27372
18:30:00,2018-12-31,29854
18:45:00,2018-12-31,26426
19:00:00,2018-12-31,30435
19:15:00,2018-12-31,27403
19:30:00,2018-12-31,30208
19:45:00,2018-12-31,27263
20:00:00,2018-12-31,32065
20:15:00,2018-12-31,27703
20:30:00,2018-12-31,30344
20:45:00,2018-12-31,26984
21:00:00,2018-12-31,30883
21:15:00,2018-12-31,27285
21:30:00,2018-12-31,32241
21:45:00,2018-12-31,26935
22:00:00,2018-12-31,30925
22:15:00,2018-12-31,27519
22:30:00,2018-12-31,30675
22:45:00,2018-12-31,26426
23:00:00,2018-12-31,30989
23:15:00,2018-12-31,26930
23:30:00,2018-12-31,30155
23:45:00,2018-12-31,25620
