Time,Date,Total
00:00:00,2018-11-04,42
00:15:00,2018-11-04,50
00:30:00,2018-11-04,45
00:45:00,2018-11-04,50
01:00:00,2018-11-04,43
01:15:00,2018-11-04,51
01:30:00,2018-11-04,58
01:45:00,2018-11-04,46
02:00:00,2018-11-04,46
02:15:00,2018-11-04,59
02:30:00,2018-11-04,34
02:45:00,2018-11-04,47
03:00:00,2018-11-04,51
03:15:00,2018-11-04,56
03:30:00,2018-11-04,48
03:45:00,2018-11-04,51
04:00:00,2018-11-04,42
04:15:00,2018-11-04,52
04:30:00,2018-11-04,42
04:45:00,2018-11-04,37
05:00:00,2018-11-04,45
05:15:00,2018-11-04,45
05:30:00,2018-11-04,44
05:45:00,2018-11-04,42
06:00:00,2018-11-04,42
06:15:00,2018-11-04,36
06:30:00,2018-11-04,36
06:45:00,2018-11-04,42
07:00:00,2018-11-04,37
07:15:00,2018-11-04,48
07:30:00,2018-11-04,60
07:45:00,2018-11-04,47
08:00:00,2018-11-04,41
08:15:00,2018-11-04,74
08:30:00,2018-11-04,43
08:45:00,2018-11-04,71
09:00:00,2018-11-04,63
09:15:00,2018-11-04,48
09:30:00,2018-11-04,40
09:45:00,2018-11-04,39
10:00:00,2018-11-04,63
10:15:00,2018-11-04,54
10:30:00,2018-11-04,40
10:45:00,2018-11-04,44
11:00:00,2018-11-04,41
11:15:00,2018-11-04,43
11:30:00,2018-11-04,56
11:45:00,2018-11-04,37
12:00:00,2018-11-04,43
12:15:00,2018-11-04,46
12:30:00,2018-11-04,44
12:45:00,2018-11-04,39
13:00:00,2018-11-04,51
13:15:00,2018-11-04,40
13:30:00,2018-11-04,42
13:45:00,2018-11-04,39
14:00:00,2018-11-04,53
14:15:00,2018-11-04,41
14:30:00,2018-11-04,39
14:45:00,2018-11-04,41
15:00:00,2018-11-04,40
15:15:00,2018-11-04,40
15:30:00,2018-11-04,76
15:45:00,2018-11-04,48
16:00:00,2018-11-04,48
16:15:00,2018-11-04,49
16:30:00,2018-11-04,49
16:45:00,2018-11-04,46
17:00:00,2018-11-04,50
17:15:00,2018-11-04,57
17:30:00,2018-11-04,47
17:45:00,2018-11-04,42
18:00:00,2018-11-04,51
18:15:00,2018-11-04,50
18:30:00,2018-11-04,37
18:45:00,2018-11-04,35
19:00:00,2018-11-04,41
19:15:00,2018-11-04,43
19:30:00,2018-11-04,70
19:45:00,2018-11-04,41
20:00:00,2018-11-04,43
20:15:00,2018-11-04,55
20:30:00,2018-11-04,49
20:45:00,2018-11-04,37
21:00:00,2018-11-04,51
21:15:00,2018-11-04,39
21:30:00,2018-11-04,40
21:45:00,2018-11-04,42
22:00:00,2018-11-04,52
22:15:00,2018-11-04,39
22:30:00,2018-11-04,49
22:45:00,2018-11-04,41
23:00:00,2018-11-04,34
23:15:00,2018-11-04,52
23:30:00,2018-11-04,64
23:45:00,2018-11-04,51
