Time,Date,Total
00:00:00,2018-10-09,10589
00:15:00,2018-10-09,6951
00:30:00,2018-10-09,6773
00:45:00,2018-10-09,6469
01:00:00,2018-10-09,7297
01:15:00,2018-10-09,6574
01:30:00,2018-10-09,6886
01:45:00,2018-10-09,6241
02:00:00,2018-10-09,7913
02:15:00,2018-10-09,6779
02:30:00,2018-10-09,6987
02:45:00,2018-10-09,6642
03:00:00,2018-10-09,8065
03:15:00,2018-10-09,8346
03:30:00,2018-10-09,7191
03:45:00,2018-10-09,6873
04:00:00,2018-10-09,8449
04:15:00,2018-10-09,7444
04:30:00,2018-10-09,7821
04:45:00,2018-10-09,7135
05:00:00,2018-10-09,10570
05:15:00,2018-10-09,10358
05:30:00,2018-10-09,11334
05:45:00,2018-10-09,10635
06:00:00,2018-10-09,11869
06:15:00,2018-10-09,12180
06:30:00,2018-10-09,11706
06:45:00,2018-10-09,11504
07:00:00,2018-10-09,12779
07:15:00,2018-10-09,14052
07:30:00,2018-10-09,16659
07:45:00,2018-10-09,21589
08:00:00,2018-10-09,24783
08:15:00,2018-10-09,18385
08:30:00,2018-10-09,19519
08:45:00,2018-10-09,16361
09:00:00,2018-10-09,17354
09:15:00,2018-10-09,15628
09:30:00,2018-10-09,14208
09:45:00,2018-10-09,13747
10:00:00,2018-10-09,19463
10:15:00,2018-10-09,17805
10:30:00,2018-10-09,20848
10:45:00,2018-10-09,22628
11:00:00,2018-10-09,21804
11:15:00,2018-10-09,23685
11:30:00,2018-10-09,23266
11:45:00,2018-10-09,23287
12:00:00,2018-10-09,19987
12:15:00,2018-10-09,16145
12:30:00,2018-10-09,16629
12:45:00,2018-10-09,17794
13:00:00,2018-10-09,22652
13:15:00,2018-10-09,23611
13:30:00,2018-10-09,26249
13:45:00,2018-10-09,27667
14:00:00,2018-10-09,26381
14:15:00,2018-10-09,19995
14:30:00,2018-10-09,20623
14:45:00,2018-10-09,20867
15:00:00,2018-10-09,20957
15:15:00,2018-10-09,21575
15:30:00,2018-10-09,22820
15:45:00,2018-10-09,23427
16:00:00,2018-10-09,21047
16:15:00,2018-10-09,17412
16:30:00,2018-10-09,13773
16:45:00,2018-10-09,12364
17:00:00,2018-10-09,11182
17:15:00,2018-10-09,10991
17:30:00,2018-10-09,12690
17:45:00,2018-10-09,9737
18:00:00,2018-10-09,10388
18:15:00,2018-10-09,9630
18:30:00,2018-10-09,9837
18:45:00,2018-10-09,9466
19:00:00,2018-10-09,10392
19:15:00,2018-10-09,9808
19:30:00,2018-10-09,9751
19:45:00,2018-10-09,9507
20:00:00,2018-10-09,10472
20:15:00,2018-10-09,10467
20:30:00,2018-10-09,11003
20:45:00,2018-10-09,6379
21:00:00,2018-10-09,6817
21:15:00,2018-10-09,6509
21:30:00,2018-10-09,6522
21:45:00,2018-10-09,6176
22:00:00,2018-10-09,6842
22:15:00,2018-10-09,6610
22:30:00,2018-10-09,6427
22:45:00,2018-10-09,6308
23:00:00,2018-10-09,8449
23:15:00,2018-10-09,6877
23:30:00,2018-10-09,7838
23:45:00,2018-10-09,6218
