Time,Date,Total
00:00:00,2018-11-28,10933
00:15:00,2018-11-28,9454
00:30:00,2018-11-28,9472
00:45:00,2018-11-28,10222
01:00:00,2018-11-28,9284
01:15:00,2018-11-28,9853
01:30:00,2018-11-28,15657
01:45:00,2018-11-28,11817
02:00:00,2018-11-28,12075
02:15:00,2018-11-28,10563
02:30:00,2018-11-28,9481
02:45:00,2018-11-28,10677
03:00:00,2018-11-28,12175
03:15:00,2018-11-28,11691
03:30:00,2018-11-28,10986
03:45:00,2018-11-28,11311
04:00:00,2018-11-28,11135
04:15:00,2018-11-28,12301
04:30:00,2018-11-28,11355
04:45:00,2018-11-28,11222
05:00:00,2018-11-28,12666
05:15:00,2018-11-28,10596
05:30:00,2018-11-28,9412
05:45:00,2018-11-28,9143
06:00:00,2018-11-28,11732
06:15:00,2018-11-28,12992
06:30:00,2018-11-28,11772
06:45:00,2018-11-28,15268
07:00:00,2018-11-28,15851
07:15:00,2018-11-28,21133
07:30:00,2018-11-28,28807
07:45:00,2018-11-28,38467
08:00:00,2018-11-28,41875
08:15:00,2018-11-28,32952
08:30:00,2018-11-28,33817
08:45:00,2018-11-28,28198
09:00:00,2018-11-28,41650
09:15:00,2018-11-28,35403
09:30:00,2018-11-28,41029
09:45:00,2018-11-28,41078
10:00:00,2018-11-28,35871
10:15:00,2018-11-28,29444
10:30:00,2018-11-28,35323
10:45:00,2018-11-28,31129
11:00:00,2018-11-28,29510
11:15:00,2018-11-28,23547
11:30:00,2018-11-28,29548
11:45:00,2018-11-28,32362
12:00:00,2018-11-28,38795
12:15:00,2018-11-28,43921
12:30:00,2018-11-28,39022
12:45:00,2018-11-28,41164
13:00:00,2018-11-28,40438
13:15:00,2018-11-28,41338
13:30:00,2018-11-28,34194
13:45:00,2018-11-28,39226
14:00:00,2018-11-28,37857
14:15:00,2018-11-28,43805
14:30:00,2018-11-28,42056
14:45:00,2018-11-28,37219
15:00:00,2018-11-28,30174
15:15:00,2018-11-28,23868
15:30:00,2018-11-28,31287
15:45:00,2018-11-28,30669
16:00:00,2018-11-28,27198
16:15:00,2018-11-28,36751
16:30:00,2018-11-28,27505
16:45:00,2018-11-28,20606
17:00:00,2018-11-28,16692
17:15:00,2018-11-28,12292
17:30:00,2018-11-28,11066
17:45:00,2018-11-28,11123
18:00:00,2018-11-28,12529
18:15:00,2018-11-28,16588
18:30:00,2018-11-28,11465
18:45:00,2018-11-28,10530
19:00:00,2018-11-28,12543
19:15:00,2018-11-28,13775
19:30:00,2018-11-28,12047
19:45:00,2018-11-28,16594
20:00:00,2018-11-28,16524
20:15:00,2018-11-28,12118
20:30:00,2018-11-28,13611
20:45:00,2018-11-28,9855
21:00:00,2018-11-28,11139
21:15:00,2018-11-28,11424
21:30:00,2018-11-28,10278
21:45:00,2018-11-28,9505
22:00:00,2018-11-28,10798
22:15:00,2018-11-28,12313
22:30:00,2018-11-28,11971
22:45:00,2018-11-28,9652
23:00:00,2018-11-28,10837
23:15:00,2018-11-28,11441
23:30:00,2018-11-28,10635
23:45:00,2018-11-28,9869
