Time,Date,Total
00:00:00,2018-09-26,2816
00:15:00,2018-09-26,2485
00:30:00,2018-09-26,2279
00:45:00,2018-09-26,2255
01:00:00,2018-09-26,2526
01:15:00,2018-09-26,2101
01:30:00,2018-09-26,2324
01:45:00,2018-09-26,2288
02:00:00,2018-09-26,2591
02:15:00,2018-09-26,2399
02:30:00,2018-09-26,2304
02:45:00,2018-09-26,2248
03:00:00,2018-09-26,2674
03:15:00,2018-09-26,2540
03:30:00,2018-09-26,2637
03:45:00,2018-09-26,2540
04:00:00,2018-09-26,2691
04:15:00,2018-09-26,3305
04:30:00,2018-09-26,2775
04:45:00,2018-09-26,2877
05:00:00,2018-09-26,3059
05:15:00,2018-09-26,3240
05:30:00,2018-09-26,2796
05:45:00,2018-09-26,2524
06:00:00,2018-09-26,3535
06:15:00,2018-09-26,3461
06:30:00,2018-09-26,4390
06:45:00,2018-09-26,5756
07:00:00,2018-09-26,4983
07:15:00,2018-09-26,9262
07:30:00,2018-09-26,13705
07:45:00,2018-09-26,21777
08:00:00,2018-09-26,19678
08:15:00,2018-09-26,18726
08:30:00,2018-09-26,18486
08:45:00,2018-09-26,18239
09:00:00,2018-09-26,20590
09:15:00,2018-09-26,20066
09:30:00,2018-09-26,18791
09:45:00,2018-09-26,15416
10:00:00,2018-09-26,12098
10:15:00,2018-09-26,16799
10:30:00,2018-09-26,16363
10:45:00,2018-09-26,13412
11:00:00,2018-09-26,15286
11:15:00,2018-09-26,14292
11:30:00,2018-09-26,18504
11:45:00,2018-09-26,14311
12:00:00,2018-09-26,17490
12:15:00,2018-09-26,20646
12:30:00,2018-09-26,17243
12:45:00,2018-09-26,17385
13:00:00,2018-09-26,15299
13:15:00,2018-09-26,15301
13:30:00,2018-09-26,13243
13:45:00,2018-09-26,14765
14:00:00,2018-09-26,15926
14:15:00,2018-09-26,14818
14:30:00,2018-09-26,14835
14:45:00,2018-09-26,17132
15:00:00,2018-09-26,17028
15:15:00,2018-09-26,24524
15:30:00,2018-09-26,19308
15:45:00,2018-09-26,21033
16:00:00,2018-09-26,13200
16:15:00,2018-09-26,15849
16:30:00,2018-09-26,10422
16:45:00,2018-09-26,8485
17:00:00,2018-09-26,6145
17:15:00,2018-09-26,5694
17:30:00,2018-09-26,3418
17:45:00,2018-09-26,3425
18:00:00,2018-09-26,3645
18:15:00,2018-09-26,3203
18:30:00,2018-09-26,2971
18:45:00,2018-09-26,3003
19:00:00,2018-09-26,3226
19:15:00,2018-09-26,2515
19:30:00,2018-09-26,2761
19:45:00,2018-09-26,2661
20:00:00,2018-09-26,9856
20:15:00,2018-09-26,2526
20:30:00,2018-09-26,2795
20:45:00,2018-09-26,2998
21:00:00,2018-09-26,2551
21:15:00,2018-09-26,2383
21:30:00,2018-09-26,2466
21:45:00,2018-09-26,2233
22:00:00,2018-09-26,2637
22:15:00,2018-09-26,2467
22:30:00,2018-09-26,3751
22:45:00,2018-09-26,2757
23:00:00,2018-09-26,2525
23:15:00,2018-09-26,2560
23:30:00,2018-09-26,2525
23:45:00,2018-09-26,2585
