Time,Date,Total
00:00:00,2019-01-12,4666
00:15:00,2019-01-12,4739
00:30:00,2019-01-12,4599
00:45:00,2019-01-12,4622
01:00:00,2019-01-12,4697
01:15:00,2019-01-12,4937
01:30:00,2019-01-12,4687
01:45:00,2019-01-12,4641
02:00:00,2019-01-12,4636
02:15:00,2019-01-12,4627
02:30:00,2019-01-12,4630
02:45:00,2019-01-12,4690
03:00:00,2019-01-12,4660
03:15:00,2019-01-12,4755
03:30:00,2019-01-12,4678
03:45:00,2019-01-12,4679
04:00:00,2019-01-12,4795
04:15:00,2019-01-12,4652
04:30:00,2019-01-12,4708
04:45:00,2019-01-12,4707
05:00:00,2019-01-12,4654
05:15:00,2019-01-12,4599
05:30:00,2019-01-12,4615
05:45:00,2019-01-12,4617
06:00:00,2019-01-12,4652
06:15:00,2019-01-12,4631
06:30:00,2019-01-12,4681
06:45:00,2019-01-12,4668
07:00:00,2019-01-12,4674
07:15:00,2019-01-12,5050
07:30:00,2019-01-12,5002
07:45:00,2019-01-12,6608
08:00:00,2019-01-12,5880
08:15:00,2019-01-12,5578
08:30:00,2019-01-12,5820
08:45:00,2019-01-12,5914
09:00:00,2019-01-12,5549
09:15:00,2019-01-12,5353
09:30:00,2019-01-12,5047
09:45:00,2019-01-12,5037
10:00:00,2019-01-12,6075
10:15:00,2019-01-12,5695
10:30:00,2019-01-12,5058
10:45:00,2019-01-12,5122
11:00:00,2019-01-12,5316
11:15:00,2019-01-12,5371
11:30:00,2019-01-12,4943
11:45:00,2019-01-12,5228
12:00:00,2019-01-12,5796
12:15:00,2019-01-12,5042
12:30:00,2019-01-12,4644
12:45:00,2019-01-12,4697
13:00:00,2019-01-12,4834
13:15:00,2019-01-12,4799
13:30:00,2019-01-12,4708
13:45:00,2019-01-12,4613
14:00:00,2019-01-12,4763
14:15:00,2019-01-12,4625
14:30:00,2019-01-12,4569
14:45:00,2019-01-12,4724
15:00:00,2019-01-12,4724
15:15:00,2019-01-12,6000
15:30:00,2019-01-12,4893
15:45:00,2019-01-12,4568
16:00:00,2019-01-12,4596
16:15:00,2019-01-12,4608
16:30:00,2019-01-12,4685
16:45:00,2019-01-12,4593
17:00:00,2019-01-12,4451
17:15:00,2019-01-12,4506
17:30:00,2019-01-12,4474
17:45:00,2019-01-12,4501
18:00:00,2019-01-12,4491
18:15:00,2019-01-12,4463
18:30:00,2019-01-12,4441
18:45:00,2019-01-12,4624
19:00:00,2019-01-12,4510
19:15:00,2019-01-12,4495
19:30:00,2019-01-12,4486
19:45:00,2019-01-12,4452
20:00:00,2019-01-12,4524
20:15:00,2019-01-12,4511
20:30:00,2019-01-12,4492
20:45:00,2019-01-12,4512
21:00:00,2019-01-12,4466
21:15:00,2019-01-12,4609
21:30:00,2019-01-12,4506
21:45:00,2019-01-12,4481
22:00:00,2019-01-12,4469
22:15:00,2019-01-12,4444
22:30:00,2019-01-12,4476
22:45:00,2019-01-12,4480
23:00:00,2019-01-12,4463
23:15:00,2019-01-12,4485
23:30:00,2019-01-12,4479
23:45:00,2019-01-12,4393
