Time,Date,Total
00:00:00,2018-11-01,5848
00:15:00,2018-11-01,81
00:30:00,2018-11-01,3333
00:45:00,2018-11-01,57
01:00:00,2018-11-01,3342
01:15:00,2018-11-01,57
01:30:00,2018-11-01,3341
01:45:00,2018-11-01,57
02:00:00,2018-11-01,3342
02:15:00,2018-11-01,57
02:30:00,2018-11-01,3341
02:45:00,2018-11-01,57
03:00:00,2018-11-01,3342
03:15:00,2018-11-01,56
03:30:00,2018-11-01,3475
03:45:00,2018-11-01,52
04:00:00,2018-11-01,3340
04:15:00,2018-11-01,52
04:30:00,2018-11-01,3339
04:45:00,2018-11-01,54
05:00:00,2018-11-01,3340
05:15:00,2018-11-01,53
05:30:00,2018-11-01,3339
05:45:00,2018-11-01,53
06:00:00,2018-11-01,3339
06:15:00,2018-11-01,53
06:30:00,2018-11-01,3339
06:45:00,2018-11-01,51
07:00:00,2018-11-01,3343
07:15:00,2018-11-01,58
07:30:00,2018-11-01,3315
07:45:00,2018-11-01,58
08:00:00,2018-11-01,3331
08:15:00,2018-11-01,58
08:30:00,2018-11-01,3279
08:45:00,2018-11-01,64
09:00:00,2018-11-01,3274
09:15:00,2018-11-01,65
09:30:00,2018-11-01,4282
09:45:00,2018-11-01,236
10:00:00,2018-11-01,3273
10:15:00,2018-11-01,62
10:30:00,2018-11-01,4044
10:45:00,2018-11-01,88
11:00:00,2018-11-01,3280
11:15:00,2018-11-01,2017
11:30:00,2018-11-01,3438
11:45:00,2018-11-01,65
12:00:00,2018-11-01,5766
12:15:00,2018-11-01,1228
12:30:00,2018-11-01,3292
12:45:00,2018-11-01,831
13:00:00,2018-11-01,3348
13:15:00,2018-11-01,63
13:30:00,2018-11-01,3285
13:45:00,2018-11-01,92
14:00:00,2018-11-01,3266
14:15:00,2018-11-01,69
14:30:00,2018-11-01,3284
14:45:00,2018-11-01,64
15:00:00,2018-11-01,3397
15:15:00,2018-11-01,60
15:30:00,2018-11-01,3277
15:45:00,2018-11-01,154
16:00:00,2018-11-01,3404
16:15:00,2018-11-01,58
16:30:00,2018-11-01,3289
16:45:00,2018-11-01,72
17:00:00,2018-11-01,3559
17:15:00,2018-11-01,47
17:30:00,2018-11-01,3326
17:45:00,2018-11-01,46
18:00:00,2018-11-01,3315
18:15:00,2018-11-01,46
18:30:00,2018-11-01,3349
18:45:00,2018-11-01,46
19:00:00,2018-11-01,3323
19:15:00,2018-11-01,46
19:30:00,2018-11-01,3327
19:45:00,2018-11-01,46
20:00:00,2018-11-01,3323
20:15:00,2018-11-01,60
20:30:00,2018-11-01,3323
20:45:00,2018-11-01,46
21:00:00,2018-11-01,3349
21:15:00,2018-11-01,62
21:30:00,2018-11-01,3335
21:45:00,2018-11-01,206
22:00:00,2018-11-01,3323
22:15:00,2018-11-01,46
22:30:00,2018-11-01,3323
22:45:00,2018-11-01,49
23:00:00,2018-11-01,3328
23:15:00,2018-11-01,46
23:30:00,2018-11-01,3323
23:45:00,2018-11-01,145
