Time,Date,Total
00:00:00,2018-12-10,104764
00:15:00,2018-12-10,91853
00:30:00,2018-12-10,110911
00:45:00,2018-12-10,84336
01:00:00,2018-12-10,96975
01:15:00,2018-12-10,96913
01:30:00,2018-12-10,137633
01:45:00,2018-12-10,81956
02:00:00,2018-12-10,74155
02:15:00,2018-12-10,63537
02:30:00,2018-12-10,66140
02:45:00,2018-12-10,60802
03:00:00,2018-12-10,68806
03:15:00,2018-12-10,58959
03:30:00,2018-12-10,58012
03:45:00,2018-12-10,54293
04:00:00,2018-12-10,77177
04:15:00,2018-12-10,56111
04:30:00,2018-12-10,62077
04:45:00,2018-12-10,60932
05:00:00,2018-12-10,85159
05:15:00,2018-12-10,69643
05:30:00,2018-12-10,68836
05:45:00,2018-12-10,70832
06:00:00,2018-12-10,68231
06:15:00,2018-12-10,65828
06:30:00,2018-12-10,68925
06:45:00,2018-12-10,69627
07:00:00,2018-12-10,71871
07:15:00,2018-12-10,78046
07:30:00,2018-12-10,116718
07:45:00,2018-12-10,150519
08:00:00,2018-12-10,178775
08:15:00,2018-12-10,154620
08:30:00,2018-12-10,179003
08:45:00,2018-12-10,152521
09:00:00,2018-12-10,160842
09:15:00,2018-12-10,159248
09:30:00,2018-12-10,176841
09:45:00,2018-12-10,180653
10:00:00,2018-12-10,216531
10:15:00,2018-12-10,163071
10:30:00,2018-12-10,207009
10:45:00,2018-12-10,167768
11:00:00,2018-12-10,162988
11:15:00,2018-12-10,134394
11:30:00,2018-12-10,143445
11:45:00,2018-12-10,126861
12:00:00,2018-12-10,167768
12:15:00,2018-12-10,135173
12:30:00,2018-12-10,141144
12:45:00,2018-12-10,114417
13:00:00,2018-12-10,128444
13:15:00,2018-12-10,139710
13:30:00,2018-12-10,237961
13:45:00,2018-12-10,235529
14:00:00,2018-12-10,229113
14:15:00,2018-12-10,134372
14:30:00,2018-12-10,140599
14:45:00,2018-12-10,202460
15:00:00,2018-12-10,135759
15:15:00,2018-12-10,149720
15:30:00,2018-12-10,180486
15:45:00,2018-12-10,116310
16:00:00,2018-12-10,113207
16:15:00,2018-12-10,107645
16:30:00,2018-12-10,95316
16:45:00,2018-12-10,79292
17:00:00,2018-12-10,77784
17:15:00,2018-12-10,60865
17:30:00,2018-12-10,64393
17:45:00,2018-12-10,68619
18:00:00,2018-12-10,76596
18:15:00,2018-12-10,65868
18:30:00,2018-12-10,72888
18:45:00,2018-12-10,51939
19:00:00,2018-12-10,61984
19:15:00,2018-12-10,67655
19:30:00,2018-12-10,63989
19:45:00,2018-12-10,52980
20:00:00,2018-12-10,65623
20:15:00,2018-12-10,44929
20:30:00,2018-12-10,50690
20:45:00,2018-12-10,53679
21:00:00,2018-12-10,58909
21:15:00,2018-12-10,52235
21:30:00,2018-12-10,68011
21:45:00,2018-12-10,62437
22:00:00,2018-12-10,65108
22:15:00,2018-12-10,100316
22:30:00,2018-12-10,96392
22:45:00,2018-12-10,84727
23:00:00,2018-12-10,116746
23:15:00,2018-12-10,91855
23:30:00,2018-12-10,106447
23:45:00,2018-12-10,87412
