Time,Date,Total
00:00:00,2018-12-14,6735
00:15:00,2018-12-14,3499
00:30:00,2018-12-14,892
00:45:00,2018-12-14,851
01:00:00,2018-12-14,928
01:15:00,2018-12-14,890
01:30:00,2018-12-14,859
01:45:00,2018-12-14,636
02:00:00,2018-12-14,923
02:15:00,2018-12-14,677
02:30:00,2018-12-14,557
02:45:00,2018-12-14,597
03:00:00,2018-12-14,736
03:15:00,2018-12-14,629
03:30:00,2018-12-14,720
03:45:00,2018-12-14,594
04:00:00,2018-12-14,744
04:15:00,2018-12-14,627
04:30:00,2018-12-14,595
04:45:00,2018-12-14,537
05:00:00,2018-12-14,869
05:15:00,2018-12-14,672
05:30:00,2018-12-14,640
05:45:00,2018-12-14,585
06:00:00,2018-12-14,794
06:15:00,2018-12-14,743
06:30:00,2018-12-14,911
06:45:00,2018-12-14,1852
07:00:00,2018-12-14,2278
07:15:00,2018-12-14,974
07:30:00,2018-12-14,1713
07:45:00,2018-12-14,1641
08:00:00,2018-12-14,7250
08:15:00,2018-12-14,5406
08:30:00,2018-12-14,1856
08:45:00,2018-12-14,1775
09:00:00,2018-12-14,1288
09:15:00,2018-12-14,1359
09:30:00,2018-12-14,1094
09:45:00,2018-12-14,960
10:00:00,2018-12-14,1257
10:15:00,2018-12-14,1261
10:30:00,2018-12-14,1291
10:45:00,2018-12-14,1196
11:00:00,2018-12-14,1417
11:15:00,2018-12-14,1274
11:30:00,2018-12-14,1795
11:45:00,2018-12-14,1205
12:00:00,2018-12-14,5034
12:15:00,2018-12-14,6771
12:30:00,2018-12-14,1925
12:45:00,2018-12-14,1372
13:00:00,2018-12-14,2007
13:15:00,2018-12-14,1416
13:30:00,2018-12-14,1329
13:45:00,2018-12-14,1425
14:00:00,2018-12-14,1301
14:15:00,2018-12-14,1324
14:30:00,2018-12-14,1465
14:45:00,2018-12-14,1100
15:00:00,2018-12-14,1183
15:15:00,2018-12-14,1268
15:30:00,2018-12-14,959
15:45:00,2018-12-14,1067
16:00:00,2018-12-14,1125
16:15:00,2018-12-14,1167
16:30:00,2018-12-14,971
16:45:00,2018-12-14,742
17:00:00,2018-12-14,679
17:15:00,2018-12-14,857
17:30:00,2018-12-14,924
17:45:00,2018-12-14,678
18:00:00,2018-12-14,711
18:15:00,2018-12-14,673
18:30:00,2018-12-14,711
18:45:00,2018-12-14,642
19:00:00,2018-12-14,655
19:15:00,2018-12-14,561
19:30:00,2018-12-14,868
19:45:00,2018-12-14,603
20:00:00,2018-12-14,722
20:15:00,2018-12-14,731
20:30:00,2018-12-14,806
20:45:00,2018-12-14,635
21:00:00,2018-12-14,726
21:15:00,2018-12-14,712
21:30:00,2018-12-14,757
21:45:00,2018-12-14,676
22:00:00,2018-12-14,702
22:15:00,2018-12-14,665
22:30:00,2018-12-14,632
22:45:00,2018-12-14,572
23:00:00,2018-12-14,657
23:15:00,2018-12-14,613
23:30:00,2018-12-14,635
23:45:00,2018-12-14,561
